#Settlement	Maturity	Rate	Yield	Redemption	Frequency	Basis	Result
"15-Feb-2008",	"15-Nov-2017",	0.0575,	0.065,	100,		2,		0,	94.6343616213221
"01-Apr-2012",	"31-Mar-2020",	0.12,	0.1,	100,		2,	110.83448359321601
"01-Apr-2012",	"31-Mar-2020",	0.12,	0.1,	100,		2,	1, 110.834537395859
# Owen new additions
"15-Feb-2008",	"15-Nov-2017",	0.0575,	0.065,	100,		2,		1,	94.635449207877201
"15-Feb-2008",	"15-Nov-2017",	0.0575,	0.065,	100,		2,		1,	94.635449207877201
"01-Apr-2012",	"31-Mar-2020",	0.12,	0.1,	100,		4, 0, 110.9216934
"01-Apr-2012",	"31-Mar-2020",	0.12,	0.1,	100,		4, 1, 110.9217251
"01-Apr-2012",	"31-Mar-2020",	0.12,	0.1,	100,		4, 4, 110.9216934
"xyz",	        "15-Nov-2017",	0.0575,	0.065,	100,		2,		0,	"#VALUE!"
"15-Feb-2008", 	"xyz",        	0.0575,	0.065,	100,		2,		0,	"#VALUE!"
"15-Feb-2008",	"15-Nov-2017",	"xyz",	0.065,	100,		2,		0,	"#VALUE!"
"15-Feb-2008",	"15-Nov-2017",	0.0575,	"xyz",	100,		2,		0,	"#VALUE!"
"15-Feb-2008",	"15-Nov-2017",	0.0575,	0.065,  "xyz",		2,		0,	"#VALUE!"
"15-Feb-2008",	"15-Nov-2017",	0.0575,	0.065,	100,		"xyz",		0,	"#VALUE!"
"15-Feb-2008",	"15-Nov-2017",	0.0575,	0.065,	100,		2,		"xyz",	"#VALUE!"
# Owen Excel says 94.6365640300251
"15-Feb-2008",	"15-Nov-2017",	0.0575,	0.065,	100,		2,		2,	94.60241717687768
# Owen Excel says 94.6351747967845
"15-Feb-2008",	"15-Nov-2017",	0.0575,	0.065,	100,		2,		3,	94.643594548258
# Owen Excel says 110.8344835932160
"01-Apr-2012",	"31-Mar-2020",	0.12,	0.10,	100,		2,		2,	110.74436592216529
# Owen Excel says 110.8345285514390
"01-Apr-2012",	"31-Mar-2020",	0.12,	0.10,	100,		2,		3,	110.81970970927745
# Owen Excel says 110.9216934
"01-Apr-2012",	"31-Mar-2020",	0.12,	0.10,	100,		4,		2,	110.8912556
# Owen Excel says 110.9217329631980
"01-Apr-2012",	"31-Mar-2020",	0.12,	0.10,	100,		4,		3,	110.9292394066714
