"21-Dec-2000",	1,	52
"2000-01-01",	1,	1
"2000-01-02",	1,	2
"2000-01-01",	2,	1
"2000-01-03",	2,	2
"1995-01-01",	1,	1
"1995-01-07",	1,	1
"1995-01-08",	1,	2
"1995-01-01",	2,	1
"1995-01-02",	2,	2
"1977-03-07",		11
"1977-03-07",	"A",	"#VALUE!"
"1977-03-07",	0,	"#NUM!"
"Invalid",	1,	"#VALUE!"
-1,			"#NUM!"
"2019-12-29", 2, 52
"2019-12-29", 1, 53
"2019-12-29", 10, "#NUM!"
"2019-12-29", 11, 52
"2019-12-29", 12, 52
"2019-12-29", 13, 53
"2019-12-29", 14, 53
"2019-12-29", 15, 53
"2019-12-29", 16, 53
"2019-12-29", 17, 53
"2019-12-29", 18, "#NUM!"
"2019-12-29", 20, "#NUM!"
"2019-12-29", 22, "#NUM!"
"2019-12-29", 21, 52
"2020-12-29", 21, 53
"2021-12-29", 21, 52
"2022-12-29", 21, 52
"2020-01-01", 21, 1
"2021-01-01", 21, 53
"2022-01-01", 21, 52
"2023-01-01", 21, 52
"2020-01-08", 21, 2
"2021-01-08", 21, 1
"2022-01-08", 21, 1
"2023-01-08", 21, 1
"2025-12-29", 21, 1
